"Gene","High_Mean","Low_Mean","Log2FC","P_value","FDR_BH"
"CD40",4.22951363636364,4.44018018018018,-0.0699649834654974,1.08989613577487e-05,0.000152585459008482
"PDCD1",3.79147272727273,3.8964954954955,-0.0393165097974972,0.000544130569137966,0.00380891398396576
"CD70",4.32400909090909,4.43502702702703,-0.0364900114815882,0.00242118076843396,0.0112988435860251
"SIGLEC15",3.70567272727273,3.98824324324324,-0.105742808571228,0.0143622243298802,0.0502677851545807
"TNFRSF9",3.47714545454545,3.54545945945946,-0.0279894637313202,0.0338422022981946,0.0910209840693361
"CTLA4",3.61238181818182,3.67845045045045,-0.0260762330654429,0.0390089931725726,0.0910209840693361
"CD40LG",3.63794545454545,3.68008108108108,-0.0165683586093013,0.0733621702516396,0.146724340503279
"TNFRSF4",3.59738636363636,3.62954504504505,-0.0128041710660002,0.190270680653504,0.327003158492942
"LAG3",3.79992727272727,3.84155855855856,-0.0156789014775552,0.210216316174034,0.327003158492942
"CD28",3.44821212121212,3.49234234234234,-0.0182937450114736,0.304028519607328,0.425639927450259
"ICOS",3.69774545454545,3.72194594594595,-0.00938588718177671,0.430096426798704,0.54739545228926
"CD27",4.69877272727273,4.76396396396396,-0.0198365848731985,0.624703338087517,0.727673232143693
"PDCD1LG2",3.37557272727273,3.4050990990991,-0.0125275322667355,0.723723529396925,0.727673232143693
"IDO1",4.13146363636364,4.08982882882883,0.0145770439852212,0.727673232143693,0.727673232143693
